YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2024,ALABAMA,ESCAMBIA,01,260,73711.46,0.95134,1.02339,26,10428.38,0.89105,0.95203,314.75,26267.09,1.0129,1.06373,171.08,14564.75,1.06368,1.10054,2052.92
2024,ALABAMA,ETOWAH,01,270,83298.38,0.91826,1.00976,54.58,11949.45,0.89907,0.96431,1009.08,25568.72,0.98356,1.01478,471.67,14761.61,1.10003,1.09376,4962.92
2024,ALABAMA,FAYETTE,01,280,93074.06,0.93706,0.96726,6.17,12127.59,0.81012,0.94122,213.83,19662.35,0.88201,1.06046,143.67,13395.18,1.1188,1.11807,1055.75
2024,ALABAMA,FRANKLIN,01,290,94559.11,1.02879,1.02776,14.83,11955.49,0.89278,1.02182,281.75,21776.9,0.96698,1.04351,199,13657.43,1.02805,1.0854,1787.08
2024,ALABAMA,GENEVA,01,300,71284.97,0.91938,1.00805,12.42,11255.99,0.84366,0.9564,259.75,17668.55,0.97339,1.06869,178.92,12864.4,1.05567,1.08119,1564
2024,ALABAMA,GREENE,01,310,93041.83,0.83927,1.03404,7.92,7561.37,0.72313,0.96609,67.08,14204.91,0.84407,1.01655,71.58,12332.35,1.07175,1.07878,274.75
2024,ALABAMA,HALE,01,320,101019.01,1.00235,1.07961,14.25,10616.61,0.87113,0.94886,196.67,19036.96,0.9533,1.07831,129.33,12492.82,0.99303,1.0943,627.17
2024,ALABAMA,HENRY,01,330,88358.76,0.97065,0.99282,10.42,14393.9,0.86149,0.92162,126.67,21939,0.99463,1.05761,93.08,12334.44,1.00662,1.06333,1041
2024,ALABAMA,HOUSTON,01,340,83430.4,0.99481,0.99928,42.5,12123.15,0.90309,0.93642,739.58,26462.76,1.04402,1.04199,391.17,13855.3,1.03779,1.07284,5856.67
2024,ALABAMA,JACKSON,01,350,76875.9,0.91319,1.02205,21,13080.17,0.98422,0.95774,473.75,20797.51,0.98178,1.03467,281.83,12147.44,1.02655,1.06166,3993.08
