YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2023,ALABAMA,AUTAUGA,01,000,82184.25,0.97991,0.96029,25.08,10743.04,0.8817,0.90088,409.58,16935.14,0.89076,1.02058,85.25,11408.11,1.0392,1.04392,2885.08
2023,ALABAMA,BALDWIN,01,010,73363.29,0.96833,0.96796,103.42,11368.69,0.93283,0.9047,1375.33,21100.69,0.97574,1.01685,428.58,11964.69,0.9969,1.00623,18779.42
2023,ALABAMA,BARBOUR,01,020,86691.36,0.84641,1.0043,25.33,14279.02,0.93024,0.94568,215,19778.15,0.97541,1.05388,139.08,12576.54,1.01162,1.05512,1271.83
2023,ALABAMA,BIBB,01,030,85347.22,1.03927,0.98905,13.67,8704.37,0.80458,0.92612,212.17,17132.04,1.08969,1.06331,123.67,11568.74,1.10985,1.09372,840
2023,ALABAMA,BLOUNT,01,040,73007.9,0.90826,0.99262,22.58,10906.85,0.87574,0.90376,389.25,20918.97,1.00161,1.04128,162.33,12598.87,1.08981,1.05793,2570.17
2023,ALABAMA,BULLOCK,01,050,88991.49,0.94319,1.02464,9.92,11283.83,0.96094,0.99869,56.17,27204.67,0.96607,1.10505,73.75,9814.96,1.06049,1.03602,244
2023,ALABAMA,BUTLER,01,060,52648.16,0.81135,0.97864,13.5,8648.11,0.80545,0.9485,184.58,18051.6,0.87156,1.077,119.58,12182.38,1.08159,1.10978,1017.83
2023,ALABAMA,CALHOUN,01,070,96172.91,0.97866,1.00242,76.58,11032.79,0.91744,0.94671,1307.67,20548.77,1.04447,1.03671,463.58,12144.39,1.13146,1.05798,7992.08
2023,ALABAMA,CHAMBERS,01,080,74075.97,0.83992,1.02147,34.42,11098.99,0.94756,0.95485,423.33,15611.73,0.91307,1.06284,252.83,10595.74,1.09097,1.12725,1738.42
2023,ALABAMA,CHEROKEE,01,090,78028.22,0.94724,0.98531,23.75,10550.48,0.89766,0.96633,359.25,19999.08,0.8993,1.02778,201.5,11990.04,1.06592,1.05062,2043.33
2023,ALABAMA,CHILTON,01,100,71772.3,0.87333,0.96321,16.42,12950.27,0.94488,0.89189,286.33,16244.55,0.89965,0.94666,111.58,12557.64,1.08869,1.04389,1696.17
2023,ALABAMA,CHOCTAW,01,110,62820.02,0.87498,1.02826,14.58,12037.69,0.87911,0.97522,233.08,20794.73,0.91448,1.03731,163.58,12336.1,1.02431,1.14675,1044.25
2023,ALABAMA,CLARKE,01,120,54227.71,1.00279,1.01414,15.75,10038.96,0.81395,0.9207,265.67,14414.18,0.84446,1.05166,116.58,11728.25,1.04423,1.11052,1223.33
2023,ALABAMA,CLAY,01,130,107108.15,0.91821,1.05268,8.33,8781.31,0.79751,0.89887,145.08,12455.08,0.88248,1.07926,104.17,10282.61,0.97655,1.09281,861.83
2023,ALABAMA,CLEBURNE,01,140,*,*,*,*,11689.24,0.92652,0.96383,186.25,19535.01,0.93001,1.04821,116.42,11449.95,1.05701,1.05458,1115.58
2023,ALABAMA,COFFEE,01,150,79945.81,0.95521,0.98867,29.58,10493.2,0.97097,0.91836,506.5,17092.61,0.9824,1.071,224.08,10545.53,1.03839,1.03121,3855.83
2023,ALABAMA,COLBERT,01,160,76684.48,0.95219,1.04721,24.25,11694.99,0.94942,0.96415,589.17,19815.25,0.95186,1.03538,310,11343.85,1.01377,1.06013,4205.75
2023,ALABAMA,CONECUH,01,170,68217.74,1.00219,1.06907,7.75,12025.56,0.79413,0.94864,189.08,19284.15,0.8632,1.04558,131.17,11959.94,0.99883,1.12458,777.42
2023,ALABAMA,COOSA,01,180,*,*,*,*,7127.3,0.72646,0.91909,101.17,16842.26,0.97384,1.04824,37.33,11771.45,1.06626,1.07937,606
2023,ALABAMA,COVINGTON,01,190,67945.19,0.93163,1.01498,26.5,12015.61,0.94221,0.96557,475.58,22513.79,1.01196,1.05445,345.5,12094.99,1.09927,1.09222,2952.83
2023,ALABAMA,CRENSHAW,01,200,*,*,*,*,11910.64,0.81513,1.00361,110.25,20938.73,0.91889,1.05746,92,11178.05,1.00389,1.08747,690.67
2023,ALABAMA,CULLMAN,01,210,75416,0.96374,0.98902,42.92,13627.47,1.02682,0.94119,751.17,22067.52,0.9656,1.05597,493.17,12079.92,1.10031,1.06877,5851.08
2023,ALABAMA,DALE,01,220,90070.36,0.94767,0.97403,25.58,8913.59,0.85155,0.95393,513.17,19182.88,0.98831,1.06306,247.42,12241.48,1.09144,1.05338,3091.5
2023,ALABAMA,DALLAS,01,230,82829.94,0.95012,1.03191,44.83,9856.47,0.93513,1.02255,373.08,19894.08,1.00582,1.03128,344.17,9607.55,1.00372,1.08776,1304.42
2023,ALABAMA,DEKALB,01,240,68175.06,0.87634,0.98742,36.92,8914.62,0.88513,0.97066,847.25,16193.25,0.87858,1.03933,501.58,11489.22,1.00417,1.06858,4428.58
2023,ALABAMA,ELMORE,01,250,82763.38,0.96582,0.97427,40.92,9918.79,0.85648,0.91261,656.58,20430.67,0.94651,1.02592,182.17,11179.57,0.99492,1.01325,4901.5
