YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2022,ALABAMA,AUTAUGA,01,000,79216.61,0.98153,0.97633,30.67,8569.85,0.89372,0.89897,434,15333.51,0.96559,1.00512,93.42,10430.3,1.03196,1.0402,2842.67
2022,ALABAMA,BALDWIN,01,010,79958.08,0.92673,0.97865,105.25,9992.44,0.90749,0.90439,1480.58,20630.12,1.01544,1.00919,438.42,11080.47,0.99267,1.00467,18121.5
2022,ALABAMA,BARBOUR,01,020,77787.71,0.89764,1.01387,29.17,10876.09,0.98021,0.97698,267.33,19877.34,0.84946,1.04811,160.42,10378.32,0.9835,1.04697,1347.08
2022,ALABAMA,BIBB,01,030,79077.19,0.97516,1.01088,17.83,9232.68,0.89246,0.92062,250,14439.18,0.99832,1.0478,132.92,10024.07,1.07578,1.08184,876.17
2022,ALABAMA,BLOUNT,01,040,67133.38,0.95774,1.01881,17.83,10361.57,0.92354,0.90426,437.33,19527.47,0.99714,1.04253,169.92,11313.86,1.06424,1.04898,2699.08
2022,ALABAMA,BULLOCK,01,050,93850.11,1.13893,1.02852,12.42,7055.83,0.74482,0.97586,71.67,21365.12,0.91832,1.10185,84.17,10472.53,0.98619,1.04418,253.75
2022,ALABAMA,BUTLER,01,060,75160.43,0.86974,0.99952,26.17,9021.08,0.86835,0.99107,223.25,15181.14,0.86404,1.06544,150.92,11277.99,1.11833,1.11079,1064.92
2022,ALABAMA,CALHOUN,01,070,81836.84,0.98518,0.99337,90,9551.69,0.88152,0.95523,1597.25,16264.26,1.01353,1.03358,529.17,11235.11,1.11451,1.05595,8237.42
2022,ALABAMA,CHAMBERS,01,080,67402.78,0.92927,1.00832,44.17,8041.53,0.92448,0.95099,540.5,14042.45,0.92204,1.05271,290.42,10275.31,1.08967,1.12558,1874.83
2022,ALABAMA,CHEROKEE,01,090,73256.44,1.06798,0.99908,25.25,10697.42,0.9137,0.97592,461.42,15279.7,0.91558,1.00743,248.33,10637.32,1.06888,1.05102,2103
2022,ALABAMA,CHILTON,01,100,71523.52,0.97122,0.99212,18.58,11877.54,0.92604,0.90454,318,17925.6,0.91863,0.96726,121.08,11500.57,1.03811,1.03038,1721
2022,ALABAMA,CHOCTAW,01,110,94118.91,0.91379,1.04332,19.92,9687.61,0.79364,0.96603,303.92,16838.13,0.93727,1.02684,179.5,11956.11,1.00636,1.14464,1082.75
2022,ALABAMA,CLARKE,01,120,81822.95,0.9222,1.01326,14.5,7863.11,0.88131,0.92037,315.5,14500.59,0.79949,1.02765,131.42,10320.66,1.03637,1.09652,1285.17
2022,ALABAMA,CLAY,01,130,*,*,*,*,8276.38,0.79091,0.90593,183.83,14459.1,0.91631,1.07369,124,9029.43,0.97232,1.10329,915.67
2022,ALABAMA,CLEBURNE,01,140,*,*,*,*,12672.41,0.87624,0.95854,230,16167.04,0.98355,1.0458,131.83,11170.24,1.03323,1.06566,1139.92
2022,ALABAMA,COFFEE,01,150,80582.52,0.98094,1.01461,31.58,10161.52,0.93819,0.92659,569.58,15183.15,0.97793,1.07287,264.5,9818.64,1.05956,1.03439,3843.5
2022,ALABAMA,COLBERT,01,160,68048.69,0.87891,1.02079,35,11133.55,0.95384,0.97253,687.5,19260.62,0.95578,1.03629,338.25,10389.38,1.01016,1.06134,4264.08
2022,ALABAMA,CONECUH,01,170,*,*,*,*,9060.29,0.72538,0.97693,272.33,20591.38,0.81039,1.04371,159.5,11849.64,0.98466,1.13352,839.75
2022,ALABAMA,COOSA,01,180,*,*,*,*,7769.11,0.68864,0.94646,125.33,12624.25,0.91512,1.04851,42.83,11777.43,1.08746,1.07848,632.5
2022,ALABAMA,COVINGTON,01,190,75624.98,1.09257,1.0452,30.08,11609.38,0.99536,0.98089,557.67,17935.62,0.92197,1.0438,417.75,11086.65,1.07625,1.09417,3030.08
2022,ALABAMA,CRENSHAW,01,200,54064.16,0.83145,1.00328,10.58,12138.77,0.79112,0.97323,133.17,13653.72,0.99226,1.04158,109.42,9575.68,1.0366,1.11407,676.75
2022,ALABAMA,CULLMAN,01,210,79275.32,0.9698,1.00039,47,12068.21,1.0021,0.93779,824.58,19137.02,0.94989,1.0317,519.25,10873.13,1.10776,1.06048,5954
2022,ALABAMA,DALE,01,220,71343,0.98312,0.99231,25.83,9884.83,0.93633,0.95321,572.5,18763.26,0.93871,1.04143,230.58,11766.02,1.09088,1.0527,3155.58
2022,ALABAMA,DALLAS,01,230,73734.4,0.93932,1.01694,51.17,9493.44,0.85102,1.02964,480.42,18912.55,1.02084,1.03251,398.17,8897.88,0.98966,1.08068,1414.58
2022,ALABAMA,DEKALB,01,240,66536.43,0.8689,1.00525,39.08,8702.91,0.88254,0.97472,997.33,13106.17,0.88273,1.03921,555.58,10190.56,0.99084,1.07222,4573.83
2022,ALABAMA,ELMORE,01,250,66847.73,1.00431,0.97364,48.92,9267.12,0.87389,0.91157,675.83,19341.04,0.96538,1.03844,172.5,10153.81,0.99001,1.00927,4794
2022,ALABAMA,ESCAMBIA,01,260,73805,0.97621,1.03554,31,9412.95,0.84654,0.9512,446.08,20232,0.91406,1.04854,240.33,11168.17,1.04121,1.09189,2213.33
2022,ALABAMA,ETOWAH,01,270,80869.78,0.99035,1.02304,74.33,10234.64,0.92956,0.97223,1495.83,17277.1,0.95927,1.02914,630.33,11857.2,1.08245,1.0834,5529.17
2022,ALABAMA,FAYETTE,01,280,86437.9,1.04158,0.99066,10.83,9343.39,0.84078,0.96788,329.83,16031.37,0.9861,1.05118,197.83,10322.45,1.07564,1.11019,1152.58
2022,ALABAMA,FRANKLIN,01,290,66120.02,0.98245,1.02445,17.58,12071.31,0.95338,1.01893,424.83,17431.89,0.86924,1.04911,292.25,11507.69,1.03187,1.09257,2002.67
2022,ALABAMA,GENEVA,01,300,77811.16,0.85123,0.98779,12.83,9663.93,0.82654,0.95377,371.25,18740.68,0.93451,1.06988,231.17,11095.83,1.02907,1.08309,1852.58
2022,ALABAMA,GREENE,01,310,77425,0.86531,1.05732,17.17,9178.26,0.77683,0.9902,158.92,11048.48,0.86496,1.0117,124.67,8254.05,0.95932,1.05775,319.25
2022,ALABAMA,HALE,01,320,61380.21,1.06928,1.05972,20.83,9588.98,0.86521,0.99856,364.67,17555.31,0.95395,1.05504,225,9721.48,1.00136,1.08952,756.5
2022,ALABAMA,HENRY,01,330,101396.81,0.98144,0.98082,12.33,11930.56,0.79774,0.92022,178.67,14763.28,0.94755,1.04642,123.83,11091.06,1.01702,1.04962,1156.92
2022,ALABAMA,HOUSTON,01,340,67835.83,0.97884,0.99829,64.25,11214.95,0.9107,0.93905,1031.75,19520.71,1.01188,1.03979,507.5,11318.88,1.02348,1.06691,6460.67
2022,ALABAMA,JACKSON,01,350,67953.12,0.93686,1.01103,24.67,10825.38,0.9893,0.95899,728.42,16045.85,0.88547,1.01953,385.42,9851.9,1.01319,1.05949,4420.08
2022,ALABAMA,JEFFERSON,01,360,75956.7,0.96742,0.9644,400.33,11197.94,0.99257,0.93492,3885,19903.97,1.01031,1.00498,1388,11197.68,1.06299,1.02431,24789.17
2022,ALABAMA,LAMAR,01,370,72567.2,0.9633,1.05148,11.33,8720.41,0.84688,0.99541,319.58,15028.39,0.93374,1.05767,171.08,10478.73,1.04628,1.1165,1371.58
2022,ALABAMA,LAUDERDALE,01,380,63169.91,0.99765,1.01802,54.83,10372.55,0.92077,0.96196,954.17,14945.72,0.91704,1.03954,517.5,9517.29,0.98974,1.04634,7539.33
2022,ALABAMA,LAWRENCE,01,390,64216.73,1.01747,0.98568,18.5,9957.59,0.958,0.93664,448,15236.97,0.93581,1.05803,224.58,10329.6,1.07015,1.07721,2276.33
2022,ALABAMA,LEE,01,400,67191.29,0.99019,0.99717,80.83,9177.45,0.92285,0.91448,1383.33,16798.41,0.92527,1.04639,449.17,9879.19,1.01255,1.02155,7289.58
2022,ALABAMA,LIMESTONE,01,410,74976.6,0.91037,0.95202,48.92,9961.03,0.93728,0.91624,818.17,16526.55,0.90282,1.01906,326.17,10943.9,1.00328,1.01534,6599.33
2022,ALABAMA,LOWNDES,01,420,62369.85,0.8551,0.96353,13,9920.43,0.77284,0.94986,79.58,12235.41,0.86884,1.02148,55.92,10876.59,0.95981,1.03199,361.67
2022,ALABAMA,MACON,01,430,75673.06,0.99067,1.0152,25.83,11197.3,0.89344,0.93212,170.5,13937.71,0.88215,1.03173,88.42,8534.43,1.02126,1.05944,789.75
2022,ALABAMA,MADISON,01,440,81528.17,0.97565,0.99249,232.42,10964.38,0.93438,0.93078,2484.17,19194.5,0.9116,1.0145,932.75,10624.87,0.99503,1.01707,27062.75
2022,ALABAMA,MARENGO,01,450,58454.98,0.94804,0.98211,26.58,7769.86,0.82092,0.99151,399.58,14859.92,1.005,1.04837,216.08,10086.65,1.03191,1.09486,1233.5
2022,ALABAMA,MARION,01,460,72118.59,0.92228,0.99769,17.25,10331.96,0.926,0.98149,633.83,16658.56,0.90338,1.0586,455.67,10022.93,1.0425,1.09781,2737.83
2022,ALABAMA,MARSHALL,01,470,75814.49,0.9312,1.0234,60.08,10177.3,0.91356,0.97866,1073.33,16797.26,0.86847,1.02023,635.17,10604.52,1.02425,1.07367,6453.08
2022,ALABAMA,MOBILE,01,480,77466.31,0.9462,0.96279,260.83,10402.31,0.94226,0.93268,2921,19051.15,0.97618,1.00733,1043.42,11230.52,1.08449,1.03209,15105.33
2022,ALABAMA,MONROE,01,490,54341.62,0.80084,1.02532,20,9856.65,0.78515,0.92238,257.08,17234.16,0.93075,1.06701,163.75,9607.86,0.93712,1.09972,1075.83
2022,ALABAMA,MONTGOMERY,01,500,69224.75,0.93209,0.95624,167.83,9246.24,0.90141,0.92725,1550.58,16724.14,0.97912,1.02113,537.08,9502.88,0.99226,1.0314,9515
2022,ALABAMA,MORGAN,01,510,61907.25,0.92323,0.99497,70.42,10122.58,0.94394,0.95969,1224.92,18535.21,0.94288,1.01637,630.42,10688.29,1.03854,1.04417,8726.17
2022,ALABAMA,PERRY,01,520,75621.92,0.98374,1.10677,15.33,7864.06,0.80788,0.98398,160.33,15339.87,0.88713,1.08272,147.5,9258.56,1.08646,1.15783,342.67
2022,ALABAMA,PICKENS,01,530,70045.78,0.94076,0.9764,17.67,8048.64,0.9206,0.98029,420.33,16142.44,0.97868,1.02241,221,10882.32,1.0972,1.10492,1289.75
2022,ALABAMA,PIKE,01,540,58697.82,0.85222,0.93095,24.83,7102.24,0.72885,0.94072,263.58,16026.14,1.00015,1.0844,161.58,10754.08,1.03766,1.06303,1246.75
2022,ALABAMA,RANDOLPH,01,550,97196.51,1.01089,0.98888,16.33,10721.44,0.89163,0.95177,368.25,16862.68,0.86832,1.03194,197.25,9432.21,0.95553,1.0444,1739.58
2022,ALABAMA,RUSSELL,01,560,68382.69,0.9244,0.95713,61.75,7762.42,0.83077,0.88833,656.75,14327.23,0.95367,1.01918,263.75,9305.86,1.09393,1.05487,2995.17
2022,ALABAMA,"ST. CLAIR",01,570,70990.93,0.94327,0.99587,50.92,12848.74,1.08332,0.89289,688.08,22061.6,1.10847,1.01406,164.92,11055.77,1.22823,1.02153,4717.67
2022,ALABAMA,SHELBY,01,580,76955.6,0.95656,0.95358,60.67,11064.58,0.97978,0.88863,913.75,20285.04,0.99805,1.0143,251.58,11789.87,1.04937,0.99264,10970.75
2022,ALABAMA,SUMTER,01,590,77124.93,1.00047,1.02198,16.17,12829.78,0.87338,1.01159,234.67,14009.91,0.82702,1.02418,181.75,8799.25,0.95846,1.08406,561.75
2022,ALABAMA,TALLADEGA,01,600,73291.58,1.00083,0.99715,57.25,10042.07,0.97842,0.94281,914.08,21742.47,1.01741,1.03542,324.75,11126.71,1.11666,1.08962,4175.58
2022,ALABAMA,TALLAPOOSA,01,610,71257.41,0.93617,1.01992,32.25,9687.64,0.85741,0.92846,500.25,16822.62,0.97179,1.05795,211.42,11134.59,1.07007,1.07639,2937.5
2022,ALABAMA,TUSCALOOSA,01,620,84972.58,0.96161,0.99101,131.58,9272.44,0.87688,0.94151,2177.17,16901.57,0.97568,1.02674,858.33,10420.5,1.04943,1.05504,8914.33
2022,ALABAMA,WALKER,01,630,59515.61,0.96891,0.97735,26.67,8976.7,0.8568,0.93039,830.67,18712.55,1.01601,1.04079,305.83,11126.54,1.11545,1.10459,3649.5
2022,ALABAMA,WASHINGTON,01,640,117760.3,1.03588,0.98382,18,10648.27,0.89074,0.95837,285.5,13753.2,0.8139,1.03565,155.25,10970.27,1.03632,1.09765,1114.25
